사업번호,보고년도,보고국가/기관,자료제출기관,CRS번호,대륙명,수원국,사업실시기관,사업실시기관코드,사업실시기관명,사업구분,양자/다자간 구분,자금구분,자금형태,원조유형,원조유형코드,사업명(한글),사업명(영문),사업분야,사업분야코드,SDGs,사업개시(예정)일,사업완공(예정)일,사업설명,성평등,환경 지원,민주적/포용적 거버넌스,무역개발,모자보건증진,재난위험경감,장애인권리,영양,기술협력,기술협력 세부항목,분야별 프로그램 원조,프로젝트 원조,혼합신용,생물의 다양성,기후변화 완화,기후변화 적응,사막화,"약정액
[백만달러]","지출액
[백만달러]","회수액
[백만달러]","순지출액
[백만달러]","증여등가액
[백만달러]","비구속성 금액
[백만달러]","부분 비구속성 금액
[백만달러]","구속성 금액
[백만달러]",투자관련기술협력 금액[USD],"수출신용 금액
[USD]",약정일,상환방식,연간상환횟수,이자율,최초상환일,최종상환일,"이자수취액
[USD]","차관잔액
[USD]","연체원금
[USD]","연체이자
[USD]","차년도 상환원금
[USD]","차년도 지불이자
[USD]"
2023040103231,2023,대한민국,한국국제협력단(KOICA),2023000870,아시아 > 극동 아시아,인도네시아,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"(KOICA-IOM) 아세안의 인도적, 젠더 통합 이민 및 국경관리 역량강화 사업(2023)",Program on Humane and Gender Inclusive Immigration and Border Management Capacity-building Support for ASEAN Countries,이민 이주 원활화,15190,16.7,2023-01-01,2023-12-31,"이주 및 국경 관리 공무원들의 지식과 실무능력 향상, 각국의 정보 공유를 통해 젠더 대응 접근법을 통한 인도적 국경 관리 실무 연수",관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.028362,0.028362,NA,0.028362,0.028362,0,0,0.028362,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103232,2023,대한민국,한국국제협력단(KOICA),2023000869,아시아 > 극동 아시아,말레이시아,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"(KOICA-IOM) 아세안의 인도적, 젠더 통합 이민 및 국경관리 역량강화 사업(2023)",Program on Humane and Gender Inclusive Immigration and Border Management Capacity-building Support for ASEAN Countries,이민 이주 원활화,15190,16.7,2023-01-01,2023-12-31,"이주 및 국경 관리 공무원들의 지식과 실무능력 향상, 각국의 정보 공유를 통해 젠더 대응 접근법을 통한 인도적 국경 관리 실무 연수",관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.037815,0.037815,NA,0.037815,0.037815,0,0,0.037815,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103233,2023,대한민국,한국국제협력단(KOICA),2023000868,아시아 > 극동 아시아,필리핀,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"(KOICA-IOM) 아세안의 인도적, 젠더 통합 이민 및 국경관리 역량강화 사업(2023)",Program on Humane and Gender Inclusive Immigration and Border Management Capacity-building Support for ASEAN Countries,이민 이주 원활화,15190,16.7,2023-01-01,2023-12-31,"이주 및 국경 관리 공무원들의 지식과 실무능력 향상, 각국의 정보 공유를 통해 젠더 대응 접근법을 통한 인도적 국경 관리 실무 연수",관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.047269,0.047269,NA,0.047269,0.047269,0,0,0.047269,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103234,2023,대한민국,한국국제협력단(KOICA),2023000867,아시아 > 극동 아시아,태국,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"(KOICA-IOM) 아세안의 인도적, 젠더 통합 이민 및 국경관리 역량강화 사업(2023)",Program on Humane and Gender Inclusive Immigration and Border Management Capacity-building Support for ASEAN Countries,이민 이주 원활화,15190,16.7,2023-01-01,2023-12-31,"이주 및 국경 관리 공무원들의 지식과 실무능력 향상, 각국의 정보 공유를 통해 젠더 대응 접근법을 통한 인도적 국경 관리 실무 연수",관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.037815,0.037815,NA,0.037815,0.037815,0,0,0.037815,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103235,2023,대한민국,한국국제협력단(KOICA),2023000866,아시아 > 극동 아시아,베트남,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"(KOICA-IOM) 아세안의 인도적, 젠더 통합 이민 및 국경관리 역량강화 사업(2023)",Program on Humane and Gender Inclusive Immigration and Border Management Capacity-building Support for ASEAN Countries,이민 이주 원활화,15190,16.7,2023-01-01,2023-12-31,"이주 및 국경 관리 공무원들의 지식과 실무능력 향상, 각국의 정보 공유를 통해 젠더 대응 접근법을 통한 인도적 국경 관리 실무 연수",관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.037816,0.037816,NA,0.037816,0.037816,0,0,0.037816,NA,NA,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103240,2023,대한민국,한국국제협력단(KOICA),2023000865,아시아 > 극동 아시아,인도네시아,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,인도네시아 신재생에너지정책 역량강화(2023),Capacity Building on Renewable Energy Policy in Indonesia (2023),에너지정책 및 행정관리,23110,7.2,2023-01-01,2023-12-31,한국의 신재생에너지 전략 정책을 파악하고 한국의 신재생에너지 개발 역사를 통해서 정책 효율 및 효과성에 대해 이해,해당사항 없음,관련내용이 부수적(2차적) 목적인 경우,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.114297,0.114297,NA,0.114297,0.114297,0,0,0.114297,NA,NA,2023-10-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103241,2023,대한민국,한국국제협력단(KOICA),2023000864,아시아 > 극동 아시아,인도네시아,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,인도네시아 전자상거래 역량강화(2023),Capacity Building on Cross Border e-Commerce in Indonesia (2023),공공정책 및 행정관리,15110,16.6,2023-01-01,2023-12-31,"현지수요를 바탕으로 실제 한국의 전자상거래 유니패스 시스템 실습, 전자상거래 물품 처리 흐름 현장견학을 통해 연수생의 실무역량을 강화하고 실질적 제도개선을 위한 심화컨설팅 제공",해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.061414,0.061414,NA,0.061414,0.061414,0,0,0.061414,NA,NA,2023-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103242,2023,대한민국,한국국제협력단(KOICA),2023000863,아시아 > 서남 및 중앙아시아,부탄,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,등기등록 제도 디지털 역량강화(2023),Capacity Building for State Registration System(2023),공공정책 및 행정관리,15110,9.1,2023-01-01,2023-12-31,관련 제도 디지털 강의와 현장 견학 프로그램을 유기적으로 연계한연수프로그램을 시행함으로써 등기등록 제도 정보화시스템 운용 역량강화를 통한 참여국의 업무 효율성 증대 및 대국민 공공행정서비스 확대,해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.018606,0.018606,NA,0.018606,0.018606,0,0,0.018606,NA,NA,2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103243,2023,대한민국,한국국제협력단(KOICA),2023000862,아시아 > 극동 아시아,동티모르,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,등기등록 제도 디지털 역량강화(2023),Capacity Building for State Registration System(2023),공공정책 및 행정관리,15110,9.1,2023-01-01,2023-12-31,관련 제도 디지털 강의와 현장 견학 프로그램을 유기적으로 연계한연수프로그램을 시행함으로써 등기등록 제도 정보화시스템 운용 역량강화를 통한 참여국의 업무 효율성 증대 및 대국민 공공행정서비스 확대,해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.018606,0.018606,NA,0.018606,0.018606,0,0,0.018606,NA,NA,2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103244,2023,대한민국,한국국제협력단(KOICA),2023000861,아프리카 > 사하라 이남 > 남부아프리카,에스와티니,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,등기등록 제도 디지털 역량강화(2023),Capacity Building for State Registration System(2023),공공정책 및 행정관리,15110,9.1,2023-01-01,2023-12-31,관련 제도 디지털 강의와 현장 견학 프로그램을 유기적으로 연계한연수프로그램을 시행함으로써 등기등록 제도 정보화시스템 운용 역량강화를 통한 참여국의 업무 효율성 증대 및 대국민 공공행정서비스 확대,해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.018606,0.018606,NA,0.018606,0.018606,0,0,0.018606,NA,NA,2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103245,2023,대한민국,한국국제협력단(KOICA),2023000860,아메리카 > 중앙 아메리카,벨리즈,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,등기등록 제도 디지털 역량강화(2023),Capacity Building for State Registration System(2023),공공정책 및 행정관리,15110,9.1,2023-01-01,2023-12-31,관련 제도 디지털 강의와 현장 견학 프로그램을 유기적으로 연계한연수프로그램을 시행함으로써 등기등록 제도 정보화시스템 운용 역량강화를 통한 참여국의 업무 효율성 증대 및 대국민 공공행정서비스 확대,해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.018606,0.018606,NA,0.018606,0.018606,0,0,0.018606,NA,NA,2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103246,2023,대한민국,한국국제협력단(KOICA),2023000859,아메리카 > 중앙 아메리카,엘살바도르,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,등기등록 제도 디지털 역량강화(2023),Capacity Building for State Registration System(2023),공공정책 및 행정관리,15110,9.1,2023-01-01,2023-12-31,관련 제도 디지털 강의와 현장 견학 프로그램을 유기적으로 연계한연수프로그램을 시행함으로써 등기등록 제도 정보화시스템 운용 역량강화를 통한 참여국의 업무 효율성 증대 및 대국민 공공행정서비스 확대,해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.018606,0.018606,NA,0.018606,0.018606,0,0,0.018606,NA,NA,2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023040103247,2023,대한민국,한국국제협력단(KOICA),2023000858,아메리카 > 남아메리카,볼리비아,그밖의 공공단체,11004,한국국제협력단,신규약정(당해 전액지출) 사업,양자간(NGO 지원 제외),공적개발원조,"무상, 출연(분담금 포함)",기타 기술협력,D02,"볼리비아 아마존 화재 피해지역 농업생태계 재건사업(21-23), 3차년도 혼합연수",Program for the reactivation of agro-ecosystems affected by fires in the Chiquitania and Amazon of Bolivia(21-23),농업정책 및 행정관리,31110,15.2,2023-01-01,2023-12-31,"수원국의 해당 분야 발전에 이바지하기 위해 대상국에서 선발된 연수생들에게 해당 분야의 강의 제공, 해당 국가의 분야별 국별보고 및 액션플랜 워크숍 및 현장 견학 등의 다양한 교육 프로그램을 제공",해당사항 없음,해당사항 없음,해당사항 없음,NA,해당사항 없음,해당사항 없음,NA,NA,1,세미나/워크샵 개최,NA,NA,NA,해당사항 없음,해당사항 없음,해당사항 없음,해당사항 없음,0.198454,0.198454,NA,0.198454,0.198454,0,0,0.198454,NA,NA,2023-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
